Module,Tech,Width,Target Freq,Delay,Area,L Power (nW),D energy (fJ)
add,tsmc28,128,7360,0.135903,907.578008,4370.0,347.63987399999996
mux4,sky90,32,3955,0.264635,696.780013,305.234,181.01034
add,tsmc28,16,11972,0.086035,99.036001,529.716,39.317995
flop,tsmc28,128,21528,0.048892,241.919998,2520.0,917.116136
mux4,tsmc28,16,15755,0.062852,34.776,149.138,10.464858000000003
shiftleft,tsmc28,32,9000,0.111085,249.857999,1130.0,69.31703999999999
add,sky90,128,1963,0.536879,6416.060124,2500.0,2342.939956
mux8,sky90,128,2965,0.36382800000000004,4568.760088,1500.0,972.148416
shiftleft,tsmc28,8,15000,0.066633,48.258,347.175,16.325084999999998
priorityencoder,sky90,8,7355,0.13568,49.980001,33.776,9.307647999999999
priorityencoder,tsmc28,128,11906,0.087048,288.414,908.014,39.606840000000005
mux8,sky90,128,2950,0.356242,4419.800086,1610.0,977.5280479999999
comparator,tsmc28,16,15422,0.071125,65.898,305.232,18.0586375
add,tsmc28,32,9618,0.10391399999999999,201.600002,1010.0,79.18246799999999
mux4,tsmc28,64,15655,0.07022,145.151999,710.274,52.03302000000001
priorityencoder,sky90,8,8131,0.127993,56.840001,37.422,12.159335
csa,tsmc28,8,10000,0.067577,17.136,57.229,4.8723016999999995
mux8,tsmc28,64,10340,0.09667500000000001,338.435996,1430.0,78.88680000000002
add,sky90,16,2307,0.432901,443.940009,86.522,149.350845
priorityencoder,sky90,32,3526,0.28135,247.940005,38.796,17.584374999999998
mux2,tsmc28,16,5000,0.08561,14.49,74.123,2.0803230000000004
shiftleft,tsmc28,8,16398,0.065929,61.488,451.858,21.888427999999998
add,tsmc28,64,5000,0.19029300000000002,231.210001,1080.0,79.54247400000001
mult,sky90,128,1000,1.932611,290264.243977,112000.0,520929.49721700005
mult,sky90,64,250,3.997668,49702.660357,5450.0,19720.496243999998
mux4,tsmc28,16,1000,0.092804,28.224,102.974,0.6403476
flop,sky90,32,9095,0.11434499999999999,533.119995,518.516,1610.4349799999998
mult,sky90,128,524,1.9083759999999999,296198.144128,114000.0,273311.88559200004
flop,sky90,32,10495,0.114344,533.119995,518.516,1858.2043440000002
shiftleft,sky90,64,2338,0.446446,4425.68006,3620.0,1337.552216
priorityencoder,sky90,16,4694,0.21080200000000002,104.860002,32.047,11.425468400000002
shiftleft,tsmc28,128,6602,0.15145999999999998,1247.021993,5430.0,390.0095
priorityencoder,tsmc28,16,21202,0.047050999999999996,21.294,73.912,3.8158361
flop,tsmc28,64,21942,0.048892,120.959999,1260.0,467.35862799999995
mux8,tsmc28,32,11208,0.08916199999999999,167.201999,792.502,42.708597999999995
flop,sky90,16,8528,0.114344,266.5599975,259.258,754.899088
priorityencoder,tsmc28,32,15782,0.063304,48.51,149.054,7.343264
mux4,sky90,16,5000,0.255844,359.660007,120.182,94.150592
mux4,sky90,32,3574,0.27880900000000003,450.800009,134.823,138.010455
csa,sky90,128,5000,0.190168,3010.560059,1880.0,1393.551104
flop,sky90,32,8200,0.114344,533.119995,518.516,1451.711424
mux8,sky90,32,10000,0.319463,1334.760023,622.046,963.819871
mux8,tsmc28,32,15000,0.082084,168.587999,820.331,57.21254800000001
mux4,tsmc28,16,16097,0.061836999999999996,34.272,145.085,10.493738899999999
mult,sky90,64,619,1.6154430000000002,82141.641305,36600.0,84038.575746
shiftleft,sky90,32,2794,0.371899,1813.980028,1310.0,537.765954
priorityencoder,sky90,32,4680,0.213481,366.520007,200.482,45.535497299999996
mux2,sky90,16,4324,0.22813,114.660002,39.664,41.793416
shiftleft,tsmc28,32,10000,0.102217,374.85,1790.0,106.71454800000001
shiftleft,sky90,8,4233,0.235633,247.940005,186.768,67.391038
mult,tsmc28,64,2390,0.41840900000000003,16045.092071,109000.0,18545.978925000003
shiftleft,tsmc28,16,13275,0.082172,178.037998,941.714,50.535779999999995
mult,sky90,16,10000,1.01953,8018.360145,5700.0,74794.75986
mux2,tsmc28,16,18001,0.054703999999999996,14.994,80.805,4.896007999999999
mux8,sky90,32,3408,0.332073,899.640018,273.363,196.58721600000004
mux8,tsmc28,128,10678,0.097324,910.727989,4180.0,190.560392
shiftleft,tsmc28,128,6742,0.148315,1348.955989,6120.0,404.15837500000004
mult,sky90,32,748,1.3575709999999999,22731.100368,11200.0,21406.179528
mux2,sky90,16,4888,0.204388,115.640002,27.351,37.97529039999999
priorityencoder,sky90,128,3184,0.31365200000000004,1590.54003,480.507,110.71915600000001
csa,sky90,32,5984,0.16675700000000002,1177.960023,649.039,647.850945
mux2,sky90,32,5487,0.21903999999999998,233.240005,55.502,90.68256
mult,sky90,32,1500,1.3061850000000002,26329.660471,16700.0,51881.66820000001
priorityencoder,sky90,8,7835,0.126266,49.980001,32.378,10.719983399999998
comparator,sky90,32,4602,0.274317,748.720015,347.767,143.19347399999998
flop,tsmc28,8,22356,0.048892,15.12,157.27,59.535788399999994
mux4,tsmc28,32,15471,0.065487,73.961999,360.628,24.688599000000004
mux4,sky90,8,4750,0.21265799999999999,145.040003,62.861,39.5331222
mux8,tsmc28,8,14804,0.07403,90.342,420.482,21.542730000000002
mux2,sky90,64,3000,0.316483,448.840009,147.78,159.507432
csa,tsmc28,64,24860,0.040492,419.327999,3860.0,174.601504
flop,sky90,16,7544,0.114345,266.5599975,259.258,667.8891450000001
add,sky90,64,2273,0.461605,2966.460057,1170.0,1136.0099050000001
mux4,sky90,32,3000,0.331072,433.160008,114.713,123.158784
priorityencoder,sky90,128,2644,0.37802800000000003,1372.000027,260.085,72.8081928
flop,sky90,64,8746,0.114344,1066.23999,1040.0,3096.892896
csa,sky90,128,6106,0.165361,5269.460103,3330.0,2494.636046
mux8,sky90,64,5000,0.339746,2558.780049,891.145,831.6982079999999
csa,tsmc28,8,1000,0.067577,17.136,57.229,0.4872301699999999
flop,tsmc28,16,20700,0.048892,30.24,314.578,110.2367924
csa,sky90,64,6472,0.165362,3010.560059,1720.0,1357.6220200000002
shiftleft,sky90,16,3556,0.297125,608.58001,422.656,163.12162499999997
mux4,sky90,8,9238,0.214647,155.820003,90.053,72.765333
flop,sky90,8,8364,0.114344,133.279999,129.629,370.30304399999994
priorityencoder,tsmc28,8,32533,0.033048,11.592,49.654,2.3034456
shiftleft,sky90,64,2203,0.453859,3914.120062,2680.0,1144.632398
flop,tsmc28,128,5000,0.04889200000000002,241.919998,2520.0,212.9784412000001
mux4,tsmc28,8,18500,0.055938999999999996,24.066,117.217,7.4790443
csa,tsmc28,32,25000,0.040492,209.664,1930.0,87.82714800000001
mult,sky90,8,1257,0.7949849999999999,1967.840037,1110.0,1339.5497249999999
shiftleft,tsmc28,128,5000,0.199997,672.083996,2400.0,219.19671200000002
mux8,sky90,64,3059,0.32748799999999995,2283.400044,765.158,470.60025599999994
priorityencoder,tsmc28,64,5000,0.199836,68.292,191.082,9.532177199999998
csa,tsmc28,16,25357,0.040367,100.799999,950.751,43.757828
mux2,sky90,64,4140,0.248458,479.220009,102.601,154.789334
flop,sky90,8,8746,0.114344,133.279999,129.629,387.2716936
add,sky90,128,2312,0.530672,6506.220126,2630.0,2909.6745760000003
shiftleft,tsmc28,32,20000,0.10250200000000001,341.208,1680.0,201.826438
csa,tsmc28,128,10000,0.067577,274.175995,917.068,78.11901199999998
mux2,sky90,16,4630,0.213293,115.640002,41.725,42.487965599999995
shiftleft,tsmc28,8,5000,0.11473000000000001,15.624,51.647,2.9829800000000004
csa,sky90,8,6472,0.165362,375.340007,216.172,170.488222
csa,tsmc28,128,26848,0.040227,838.655994,7830.0,376.444266
csa,tsmc28,128,30000,0.040226,806.399994,7570.0,408.33412599999997
priorityencoder,sky90,32,4967,0.209402,376.320007,230.673,46.6757058
shiftleft,sky90,32,2474,0.404146,1482.740026,885.25,385.555284
add,sky90,8,2892,0.345669,191.100004,56.336,75.56324339999999
mux4,sky90,64,10000,0.287571,1421.980027,594.458,981.7673940000001
mux4,tsmc28,8,17760,0.056212000000000005,23.436,112.334,7.122060400000001
shiftleft,tsmc28,128,1000,0.524341,621.683997,2020.0,121.64711199999998
comparator,tsmc28,32,12384,0.082321,163.044,743.896,40.254969
priorityencoder,sky90,16,5523,0.180798,119.560002,54.0,16.3079796
mux4,tsmc28,32,14258,0.069512,70.056,308.062,21.54872
mult,sky90,32,825,1.305535,23737.560395,13100.0,25042.772370000002
add,sky90,128,2413,0.533866,6417.040124,2450.0,3012.0719719999993
add,sky90,128,1806,0.5536880000000001,5933.900115,2120.0,1891.951896
comparator,tsmc28,8,18098,0.058020999999999996,35.154,195.216,10.1304666
comparator,sky90,32,1000,0.905658,495.88001,66.524,39.124425599999995
add,sky90,64,2228,0.46351899999999996,2911.580057,1040.0,1016.0336480000001
priorityencoder,tsmc28,64,13786,0.07244400000000001,137.088001,428.365,18.328332000000003
mult,sky90,16,1056,1.003037,8028.160147,5580.0,7355.270321
mux4,tsmc28,32,1000,0.14417800000000003,54.431999,184.849,2.3082897800000004
mux8,sky90,16,3280,0.305203,644.840013,287.966,131.847696
mux8,tsmc28,16,12006,0.083084,88.83,424.362,23.928192000000003
add,tsmc28,16,1000,0.476658,32.886,116.238,7.459697700000001
flop,sky90,16,5000,0.11434400000000002,266.5599975,259.258,442.6827960000001
mult,tsmc28,128,1868,0.535328,44272.49428,262000.0,50011.412416
mult,tsmc28,16,4053,0.258784,1990.674001,14800.0,1757.1433600000003
shiftleft,tsmc28,8,16094,0.06714,44.982,306.629,16.019604
shiftleft,sky90,8,5000,0.22681400000000002,277.340005,226.865,87.55020400000001
add,sky90,128,2212,0.557327,5992.700117,1850.0,2419.3565070000004
flop,tsmc28,32,21528,0.048892,60.4799995,629.162,229.30347999999998
shiftleft,tsmc28,128,10000,0.144407,2548.727987,12900.0,1076.987406
flop,sky90,32,9270,0.114344,533.119995,518.516,1641.40812
mult,tsmc28,64,2634,0.40975700000000004,19951.974017,141000.0,24597.712710000003
