design,area,timing,power
drsu_f_ieee_div_4_2i_rv32gc_orig_tsmc28nm_100_MHz,3670.757977,1.449549,0.175
drsu_f_ieee_div_4_2i_rv32gc_orig_tsmc28nm_5000_MHz,6110.117990,0.559563,9.068
drsu_f_ieee_div_4_2i_rv64gc_orig_tsmc28nm_100_MHz,6966.161962,2.006576,0.320
drsu_f_ieee_div_4_2i_rv64gc_orig_tsmc28nm_5000_MHz,11650.337974,0.601878,16.542
drsu_f_ieee_div_4_2_rv32gc_orig_tsmc28nm_100_MHz,2139.101981,1.331992,9.73e-02
drsu_f_ieee_div_4_2_rv32gc_orig_tsmc28nm_5000_MHz,4064.759986,0.415781,5.140
drsu_f_ieee_div_4_2_rv64gc_orig_tsmc28nm_100_MHz,2139.101981,1.331992,9.73e-02
drsu_f_ieee_div_4_2_rv64gc_orig_tsmc28nm_5000_MHz,4126.625986,0.413939,5.156
drsu_f_ieee_div_4_4i_rv32gc_orig_tsmc28nm_100_MHz,4990.355969,3.124029,0.205
drsu_f_ieee_div_4_4i_rv32gc_orig_tsmc28nm_5000_MHz,8501.093986,0.765350,11.135
drsu_f_ieee_div_4_4i_rv64gc_orig_tsmc28nm_100_MHz,9143.315951,3.992603,0.363
drsu_f_ieee_div_4_4i_rv64gc_orig_tsmc28nm_5000_MHz,14486.597972,0.768011,19.246
drsu_f_ieee_div_4_4_rv32gc_orig_tsmc28nm_100_MHz,3144.707974,2.837434,0.120
drsu_f_ieee_div_4_4_rv32gc_orig_tsmc28nm_5000_MHz,5790.203984,0.753221,7.057
drsu_f_ieee_div_4_4_rv64gc_orig_tsmc28nm_100_MHz,3144.707974,2.837434,0.120
drsu_f_ieee_div_4_4_rv64gc_orig_tsmc28nm_5000_MHz,5638.625983,0.760890,6.982
